Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Amulet of Safekeeping                                    |     1 |  0.15% |           0 |           1 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Ancient Stirrings                                        |     1 |  0.15% |           4 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Annul                                                    |     1 |  0.15% |           0 |           1 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Apex Devastator                                          |     1 |  0.15% |           4 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Arcane Artisan                                           |     1 |  0.15% |           0 |           2 |        8-6-0 | 57.14% | 2808-2810-90 |  49.98% |      8-6-0 |    57.14% |
| Archmage's Charm                                         |     1 |  0.15% |           1 |           0 |        4-4-0 | 50.00% | 2812-2812-90 |  50.00% |      4-4-0 |    50.00% |
| Argoth, Sanctum of Nature                                |     1 |  0.15% |           1 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Argothian Enchantress                                    |     1 |  0.15% |           4 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Armageddon                                               |     1 |  0.15% |           0 |           2 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Assimilation Aegis                                       |     1 |  0.15% |           1 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Auriok Salvagers                                         |     1 |  0.15% |           1 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Azure Beastbinder                                        |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Barbarian Ring                                           |     1 |  0.15% |           1 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Basilisk Collar                                          |     1 |  0.15% |           1 |           0 |        0-2-0 |  0.00% | 2816-2814-90 |  50.02% |      0-2-0 |     0.00% |
| Birgi, God of Storytelling // Harnfel, Horn of Bounty    |     1 |  0.15% |           2 |           0 |        8-3-0 | 72.73% | 2808-2813-90 |  49.96% |      8-3-0 |    72.73% |
| Birthing Pod                                             |     1 |  0.15% |           1 |           0 |        3-5-1 | 38.89% | 2813-2811-89 |  50.02% |      3-5-1 |    38.89% |
| Birthing Ritual                                          |     1 |  0.15% |           4 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Bitter Chill                                             |     1 |  0.15% |           0 |           1 |        9-5-0 | 64.29% | 2807-2811-90 |  49.96% |      9-5-0 |    64.29% |
| Blightsteel Colossus                                     |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Bloodchief Ascension                                     |     1 |  0.15% |           3 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Bone Shards                                              |     1 |  0.15% |           0 |           2 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Boompile                                                 |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Borne Upon a Wind                                        |     1 |  0.15% |           1 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Boromir, Warden of the Tower                             |     1 |  0.15% |           1 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Brain Freeze                                             |     1 |  0.15% |           0 |           1 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Breeding Pool                                            |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Brightglass Gearhulk                                     |     1 |  0.15% |           2 |           0 |        4-4-1 | 50.00% | 2812-2812-89 |  50.00% |      4-4-1 |    50.00% |
| Brittle Effigy                                           |     1 |  0.15% |           0 |           1 |        8-6-0 | 57.14% | 2808-2810-90 |  49.98% |      8-6-0 |    57.14% |
| Brokers Hideout                                          |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Bruse Tarl, Roving Rancher                               |     1 |  0.15% |           1 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Brutal Cathar // Moonrage Brute                          |     1 |  0.15% |           3 |           0 |        8-5-0 | 61.54% | 2808-2811-90 |  49.97% |      8-5-0 |    61.54% |
| By Force                                                 |     1 |  0.15% |           0 |           1 |        2-7-0 | 22.22% | 2814-2809-90 |  50.04% |      2-7-0 |    22.22% |
| Call Forth the Tempest                                   |     1 |  0.15% |           3 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Candy Trail                                              |     1 |  0.15% |           1 |           0 |        2-3-0 | 40.00% | 2814-2813-90 |  50.01% |      2-3-0 |    40.00% |
| Carrion Feeder                                           |     1 |  0.15% |           3 |           0 |        1-3-0 | 25.00% | 2815-2813-90 |  50.02% |      1-3-0 |    25.00% |
| Cascading Cataracts                                      |     1 |  0.15% |           1 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Cataclysm                                                |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Cathartic Pyre                                           |     1 |  0.15% |           2 |           0 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Chandra, Awakened Inferno                                |     1 |  0.15% |           0 |           2 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Chromatic Star                                           |     1 |  0.15% |           4 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Clown Car                                                |     1 |  0.15% |           1 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Coiling Oracle                                           |     1 |  0.15% |           4 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Collected Company                                        |     1 |  0.15% |           4 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Constant Mists                                           |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Contagion                                                |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Copy Artifact                                            |     1 |  0.15% |           4 |           0 |        9-5-0 | 64.29% | 2807-2811-90 |  49.96% |      9-5-0 |    64.29% |
| Council's Judgment                                       |     1 |  0.15% |           1 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Coveted Jewel                                            |     1 |  0.15% |           4 |           0 |        9-5-0 | 64.29% | 2807-2811-90 |  49.96% |      9-5-0 |    64.29% |
| Crash                                                    |     1 |  0.15% |           0 |           1 |       10-3-1 | 75.00% | 2806-2813-89 |  49.94% |     10-3-1 |    75.00% |
| Creative Technique                                       |     1 |  0.15% |           4 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Crystal Vein                                             |     1 |  0.15% |           1 |           0 |        2-6-0 | 25.00% | 2814-2810-90 |  50.04% |      2-6-0 |    25.00% |
| Culling Ritual                                           |     1 |  0.15% |           0 |           1 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Cursed Scroll                                            |     1 |  0.15% |           0 |           1 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Damping Matrix                                           |     1 |  0.15% |           0 |           1 |        2-7-0 | 22.22% | 2814-2809-90 |  50.04% |      2-7-0 |    22.22% |
| Dance of the Dead                                        |     1 |  0.15% |           4 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Deadpool, Trading Card                                   |     1 |  0.15% |           1 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Death's Shadow                                           |     1 |  0.15% |           4 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Demonic Counsel                                          |     1 |  0.15% |           1 |           0 |        8-6-0 | 57.14% | 2808-2810-90 |  49.98% |      8-6-0 |    57.14% |
| Den of the Bugbear                                       |     1 |  0.15% |           1 |           0 |        2-6-0 | 25.00% | 2814-2810-90 |  50.04% |      2-6-0 |    25.00% |
| Destiny Spinner                                          |     1 |  0.15% |           4 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Devoted Druid                                            |     1 |  0.15% |           4 |           0 |        4-4-1 | 50.00% | 2812-2812-89 |  50.00% |      4-4-1 |    50.00% |
| Displacer Kitten                                         |     1 |  0.15% |           4 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Divert                                                   |     1 |  0.15% |           0 |           1 |        9-5-0 | 64.29% | 2807-2811-90 |  49.96% |      9-5-0 |    64.29% |
| Dwarven Ruins                                            |     1 |  0.15% |           4 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Eidolon of the Great Revel                               |     1 |  0.15% |           4 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Eldrazi Displacer                                        |     1 |  0.15% |           1 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Eldrazi Repurposer                                       |     1 |  0.15% |           4 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Elves of Deep Shadow                                     |     1 |  0.15% |           4 |           0 |        3-3-0 | 50.00% | 2813-2813-90 |  50.00% |      3-3-0 |    50.00% |
| Emrakul's Hatcher                                        |     1 |  0.15% |           1 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Emrakul, the Promised End                                |     1 |  0.15% |           1 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Enchantress's Presence                                   |     1 |  0.15% |           4 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Ephemerate                                               |     1 |  0.15% |           3 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
