Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
|                             Card                             | # of  |  % of  |  Record With  | Win %  | # of Copies | # of Copies |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, |
|                                                              | Decks | Decks  |               |  With  |   (Main)    |   (Side)    | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
| Sedgemoor Witch                                              |     1 |  0.11% |         5-4-0 | 55.56% |           0 |           2 |      1-1-0 |    50.00% |        3-1-0 |       75.00% |            0-0-0 |             --- |
| Wurmcoil Engine                                              |     1 |  0.11% |         5-4-0 | 55.56% |           0 |           1 |      0-1-0 |     0.00% |        1-1-0 |       50.00% |            2-1-0 |          66.67% |
| Rough // Tumble                                              |     1 |  0.11% |         5-4-0 | 55.56% |           0 |           1 |      1-1-0 |    50.00% |        0-0-0 |          --- |            2-0-0 |         100.00% |
| Into the Story                                               |     1 |  0.11% |         5-4-0 | 55.56% |           0 |           1 |      1-1-0 |    50.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |
| Rampaging Yao Guai                                           |     1 |  0.11% |         5-4-0 | 55.56% |           0 |           1 |      1-2-0 |    33.33% |        0-0-0 |          --- |            0-0-0 |             --- |
| Manamorphose                                                 |     1 |  0.11% |         5-3-1 | 61.11% |           4 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Reckless Impulse                                             |     1 |  0.11% |         5-3-1 | 61.11% |           4 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Wrenn's Resolve                                              |     1 |  0.11% |         5-3-1 | 61.11% |           4 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Tangle Wire                                                  |     1 |  0.11% |         5-3-1 | 61.11% |           4 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |
| Rite of Flame                                                |     1 |  0.11% |         5-3-1 | 61.11% |           3 |           1 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Desperate Ritual                                             |     1 |  0.11% |         5-3-1 | 61.11% |           3 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Ruby Medallion                                               |     1 |  0.11% |         5-3-1 | 61.11% |           3 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Birgi, God of Storytelling // Harnfel, Horn of Bounty        |     1 |  0.11% |         5-3-1 | 61.11% |           3 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Seething Song                                                |     1 |  0.11% |         5-3-1 | 61.11% |           3 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Urabrask // The Great Work                                   |     1 |  0.11% |         5-3-1 | 61.11% |           2 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Embrace the Unknown                                          |     1 |  0.11% |         5-3-1 | 61.11% |           2 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Canoptek Scarab Swarm                                        |     1 |  0.11% |         5-3-1 | 61.11% |           2 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |
| Will of the Jeskai                                           |     1 |  0.11% |         5-3-1 | 61.11% |           1 |           1 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Bonus Round                                                  |     1 |  0.11% |         5-3-1 | 61.11% |           1 |           1 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Melded Moxite                                                |     1 |  0.11% |         5-3-1 | 61.11% |           1 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Stormscale Scion                                             |     1 |  0.11% |         5-3-1 | 61.11% |           1 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Wish                                                         |     1 |  0.11% |         5-3-1 | 61.11% |           1 |           0 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Alchemist's Gambit                                           |     1 |  0.11% |         5-3-1 | 61.11% |           0 |           1 |      0-0-0 |       --- |        1-0-0 |      100.00% |            1-0-0 |         100.00% |
| Giant Killer // Chop Down                                    |     1 |  0.11% |         5-3-1 | 61.11% |           0 |           1 |      1-1-0 |    50.00% |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Kozilek, Butcher of Truth                                    |     1 |  0.11% |         5-3-1 | 61.11% |           0 |           1 |      1-1-0 |    50.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |
| Fire Covenant                                                |     1 |  0.11% |         5-3-1 | 61.11% |           0 |           1 |      3-0-0 |   100.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Yuffie, Materia Hunter                                       |     1 |  0.11% |         5-3-1 | 61.11% |           0 |           1 |      3-0-0 |   100.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Heap Doll                                                    |     1 |  0.11% |         5-3-1 | 61.11% |           0 |           1 |      1-1-0 |    50.00% |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Clarion Conqueror // Clarion Conqueror                       |     1 |  0.11% |         5-3-1 | 61.11% |           0 |           1 |      1-1-0 |    50.00% |        1-0-0 |      100.00% |            0-0-0 |             --- |
| Plagon, Lord of the Beach                                    |     1 |  0.11% |         4-5-0 | 44.44% |           2 |           0 |      0-1-0 |     0.00% |        0-2-0 |        0.00% |            0-0-0 |             --- |
| Cache Grab                                                   |     1 |  0.11% |         4-5-0 | 44.44% |           2 |           0 |      0-0-0 |       --- |        0-1-0 |        0.00% |            1-2-0 |          33.33% |
| Dredger's Insight                                            |     1 |  0.11% |         4-5-0 | 44.44% |           1 |           0 |      1-1-0 |    50.00% |        0-1-0 |        0.00% |            0-2-0 |           0.00% |
| Inversion Behemoth                                           |     1 |  0.11% |         4-5-0 | 44.44% |           1 |           0 |      0-1-0 |     0.00% |        1-1-0 |       50.00% |            1-0-0 |         100.00% |
| Scale Up                                                     |     1 |  0.11% |         4-5-0 | 44.44% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |
| Exquisite Firecraft                                          |     1 |  0.11% |         4-5-0 | 44.44% |           1 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Flare of Duplication                                         |     1 |  0.11% |         4-5-0 | 44.44% |           1 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Lotleth Giant                                                |     1 |  0.11% |         4-5-0 | 44.44% |           0 |           1 |      0-1-0 |     0.00% |        0-0-0 |          --- |            1-2-0 |          33.33% |
| Spatial Contortion                                           |     1 |  0.11% |         4-5-0 | 44.44% |           0 |           1 |      1-0-0 |   100.00% |        0-2-0 |        0.00% |            1-1-0 |          50.00% |
| Spellskite                                                   |     1 |  0.11% |         4-5-0 | 44.44% |           0 |           1 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |
| Fire // Ice                                                  |     1 |  0.11% |         4-4-1 | 50.00% |           4 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Shardless Agent                                              |     1 |  0.11% |         4-4-1 | 50.00% |           4 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Violent Outburst                                             |     1 |  0.11% |         4-4-1 | 50.00% |           4 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Crashing Footfalls                                           |     1 |  0.11% |         4-4-1 | 50.00% |           3 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Mystical Dispute                                             |     1 |  0.11% |         4-4-1 | 50.00% |           1 |           3 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
