Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
|                             Card                             | # of  |  % of  | # of Copies | # of Copies | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, | # of Decks | % of Decks |  # of Copies  |  # of Copies  |    # of    |    % of    | # of Copies | # of Copies |
|                                                              | Decks | Decks  |   (Main)    |   (Side)    |             |  With  |   Without   | Without |  Without   |  Without  | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |   (T217)   |   (T217)   | (Main) (T217) | (Side) (T217) | Decks (T8) | Decks (T8) | (Main) (T8) | (Side) (T8) |
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
| Snow-Covered Wastes                                          |     3 |  0.32% |           4 |           0 |     12-14-0 | 46.15% | 3939-3937-0 |  50.01% |    12-14-0 |    46.15% |      1-1-0 |    50.00% |        0-2-0 |        0.00% |            0-2-0 |           0.00% |          1 |      0.47% |             2 |             0 |          0 |        --- |           0 |           0 |
| Emperor of Bones                                             |     3 |  0.32% |           3 |           1 |      6-13-0 | 31.58% | 3945-3938-0 |  50.04% |     6-13-0 |    31.58% |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            0-3-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Pashalik Mons                                                |     3 |  0.32% |           3 |           0 |      8-11-0 | 42.11% | 3943-3940-0 |  50.02% |     8-11-0 |    42.11% |      1-3-0 |    25.00% |        0-1-0 |        0.00% |            1-1-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Spire of Industry                                            |     3 |  0.32% |           3 |           0 |     18-14-0 | 56.25% | 3933-3937-0 |  49.97% |    18-14-0 |    56.25% |      2-3-0 |    40.00% |        3-1-0 |       75.00% |            3-0-0 |         100.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Cryptic Coat                                                 |     3 |  0.32% |           3 |           0 |     14-12-0 | 53.85% | 3937-3939-0 |  49.99% |    14-12-0 |    53.85% |      1-3-0 |    25.00% |        0-2-0 |        0.00% |            1-3-0 |          25.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Cabal Pit                                                    |     3 |  0.32% |           3 |           0 |     12-19-0 | 38.71% | 3939-3932-0 |  50.04% |    12-19-0 |    38.71% |      4-2-0 |    66.67% |        0-2-0 |        0.00% |            1-0-0 |         100.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Riftstone Portal                                             |     3 |  0.32% |           3 |           0 |     10-13-0 | 43.48% | 3941-3938-0 |  50.02% |    10-13-0 |    43.48% |      2-5-0 |    28.57% |        0-1-0 |        0.00% |            1-0-0 |         100.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Shifting Woodland                                            |     3 |  0.32% |           3 |           0 |     10-13-0 | 43.48% | 3941-3938-0 |  50.02% |    10-13-0 |    43.48% |      2-2-0 |    50.00% |        0-1-0 |        0.00% |            0-5-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Spell Snare                                                  |     3 |  0.32% |           2 |           2 |      7-15-0 | 31.82% | 3944-3936-0 |  50.05% |     7-15-0 |    31.82% |      1-4-0 |    20.00% |        1-1-0 |       50.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Commandeer                                                   |     3 |  0.32% |           2 |           2 |      6-13-0 | 31.58% | 3945-3938-0 |  50.04% |     6-13-0 |    31.58% |      1-1-0 |    50.00% |        0-3-0 |        0.00% |            1-2-0 |          33.33% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Loran of the Third Path                                      |     3 |  0.32% |           2 |           2 |      4-11-0 | 26.67% | 3947-3940-0 |  50.04% |     4-11-0 |    26.67% |      1-0-0 |   100.00% |        1-0-0 |      100.00% |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Past in Flames                                               |     3 |  0.32% |           2 |           2 |     12-14-0 | 46.15% | 3939-3937-0 |  50.01% |    12-14-0 |    46.15% |      2-3-0 |    40.00% |        1-2-0 |       33.33% |            1-1-0 |          50.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Auroral Procession                                           |     3 |  0.32% |           2 |           1 |      9-13-0 | 40.91% | 3942-3938-0 |  50.03% |     9-13-0 |    40.91% |      0-2-0 |     0.00% |        1-1-0 |       50.00% |            1-2-0 |          33.33% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Council's Judgment                                           |     3 |  0.32% |           2 |           1 |      4-10-0 | 28.57% | 3947-3941-0 |  50.04% |     4-10-0 |    28.57% |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-3-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Gemstone Caverns                                             |     3 |  0.32% |           2 |           1 |     11-16-0 | 40.74% | 3940-3935-0 |  50.03% |    11-16-0 |    40.74% |      1-3-0 |    25.00% |        0-1-0 |        0.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Get Lost                                                     |     3 |  0.32% |           1 |           3 |     15-12-0 | 55.56% | 3936-3939-0 |  49.98% |    15-12-0 |    55.56% |      1-4-0 |    20.00% |        1-1-0 |       50.00% |            1-2-0 |          33.33% |          1 |      0.47% |             0 |             2 |          0 |        --- |           0 |           0 |
| Misdirection                                                 |     3 |  0.32% |           1 |           2 |     10-12-0 | 45.45% | 3941-3939-0 |  50.01% |    10-12-0 |    45.45% |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            3-2-0 |          60.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Nature's Claim                                               |     3 |  0.32% |           0 |          10 |     14-16-0 | 46.67% | 3937-3935-0 |  50.01% |    14-16-0 |    46.67% |      5-4-0 |    55.56% |        1-3-0 |       25.00% |            3-1-0 |          75.00% |          1 |      0.47% |             0 |             4 |          0 |        --- |           0 |           0 |
| Extirpate                                                    |     3 |  0.32% |           0 |           6 |      9-15-0 | 37.50% | 3942-3936-0 |  50.04% |     9-15-0 |    37.50% |      1-4-0 |    20.00% |        1-1-0 |       50.00% |            0-0-0 |             --- |          1 |      0.47% |             0 |             2 |          0 |        --- |           0 |           0 |
| Meddling Mage                                                |     3 |  0.32% |           0 |           6 |      8-12-0 | 40.00% | 3943-3939-0 |  50.03% |     8-12-0 |    40.00% |      1-4-0 |    20.00% |        0-0-0 |          --- |            3-2-0 |          60.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Searing Blaze                                                |     3 |  0.32% |           0 |           6 |     11-12-0 | 47.83% | 3940-3939-0 |  50.01% |    11-12-0 |    47.83% |      3-2-0 |    60.00% |        1-1-0 |       50.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Tear Asunder                                                 |     3 |  0.32% |           0 |           4 |      8-12-0 | 40.00% | 3943-3939-0 |  50.03% |     8-12-0 |    40.00% |      3-0-0 |   100.00% |        1-0-0 |      100.00% |            1-1-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Go for the Throat                                            |     3 |  0.32% |           0 |           4 |      5-14-0 | 26.32% | 3946-3937-0 |  50.06% |     5-14-0 |    26.32% |      1-2-0 |    33.33% |        1-0-0 |      100.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Ratchet Bomb                                                 |     3 |  0.32% |           0 |           4 |      2-11-0 | 15.38% | 3949-3940-0 |  50.06% |     2-11-0 |    15.38% |      2-2-0 |    50.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Subtlety                                                     |     3 |  0.32% |           0 |           4 |      13-9-0 | 59.09% | 3938-3942-0 |  49.97% |     13-9-0 |    59.09% |      1-2-0 |    33.33% |        1-1-0 |       50.00% |            2-2-0 |          50.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Release the Ants                                             |     3 |  0.32% |           0 |           3 |      8-12-0 | 40.00% | 3943-3939-0 |  50.03% |     8-12-0 |    40.00% |      2-3-0 |    40.00% |        1-2-0 |       33.33% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Pyroclasm                                                    |     3 |  0.32% |           0 |           3 |      8-11-0 | 42.11% | 3943-3940-0 |  50.02% |     8-11-0 |    42.11% |      1-1-0 |    50.00% |        1-0-0 |      100.00% |            1-3-0 |          25.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Chainsaw                                                     |     3 |  0.32% |           0 |           3 |     21-15-0 | 58.33% | 3930-3936-0 |  49.96% |    21-15-0 |    58.33% |      2-4-0 |    33.33% |        1-2-0 |       33.33% |            4-4-0 |          50.00% |          2 |      0.93% |             0 |             2 |          0 |        --- |           0 |           0 |
| Young Wolf                                                   |     2 |  0.21% |           8 |           0 |       6-9-0 | 40.00% | 3945-3942-0 |  50.02% |      6-9-0 |    40.00% |      1-2-0 |    33.33% |        0-1-0 |        0.00% |            0-3-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
