Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Godless Shrine                                             |     2 |  0.24% |          2 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Harbinger of the Tides                                     |     2 |  0.24% |          0 |          2 |       9-6-0 | 60.00% | 4188-4191-0 |  49.98% |      9-6-0 |    60.00% |          0 |        --- |             0 |             0 |
| Heritage Druid                                             |     2 |  0.24% |          2 |          0 |       7-7-0 | 50.00% | 4190-4190-0 |  50.00% |      7-7-0 |    50.00% |          0 |        --- |             0 |             0 |
| Horizon Canopy                                             |     2 |  0.24% |          2 |          0 |       6-7-0 | 46.15% | 4191-4190-0 |  50.01% |      6-7-0 |    46.15% |          0 |        --- |             0 |             0 |
| Howlsquad Heavy                                            |     2 |  0.24% |          2 |          0 |       8-7-0 | 53.33% | 4189-4190-0 |  49.99% |      8-7-0 |    53.33% |          0 |        --- |             0 |             0 |
| Hydroelectric Specimen // Hydroelectric Laboratory         |     2 |  0.24% |          2 |          0 |       9-8-0 | 52.94% | 4188-4189-0 |  49.99% |      9-8-0 |    52.94% |          1 |      0.90% |             1 |             0 |
| Imperial Recruiter                                         |     2 |  0.24% |          2 |          0 |       7-9-0 | 43.75% | 4190-4188-0 |  50.01% |      7-9-0 |    43.75% |          0 |        --- |             0 |             0 |
| Kaya, Orzhov Usurper                                       |     2 |  0.24% |          1 |          2 |       2-8-0 | 20.00% | 4195-4189-0 |  50.04% |      2-8-0 |    20.00% |          0 |        --- |             0 |             0 |
| Kiora's Dismissal                                          |     2 |  0.24% |          0 |          2 |      10-6-0 | 62.50% | 4187-4191-0 |  49.98% |     10-6-0 |    62.50% |          0 |        --- |             0 |             0 |
| Knight of Autumn                                           |     2 |  0.24% |          1 |          1 |       6-8-0 | 42.86% | 4191-4189-0 |  50.01% |      6-8-0 |    42.86% |          0 |        --- |             0 |             0 |
| Laelia, the Blade Reforged                                 |     2 |  0.24% |          1 |          1 |       7-8-0 | 46.67% | 4190-4189-0 |  50.01% |      7-8-0 |    46.67% |          0 |        --- |             0 |             0 |
| Liliana of the Veil                                        |     2 |  0.24% |          2 |          0 |       1-5-0 | 16.67% | 4196-4192-0 |  50.02% |      1-5-0 |    16.67% |          0 |        --- |             0 |             0 |
| Living Death                                               |     2 |  0.24% |          2 |          0 |       1-4-0 | 20.00% | 4196-4193-0 |  50.02% |      1-4-0 |    20.00% |          0 |        --- |             0 |             0 |
| Living Wish                                                |     2 |  0.24% |          2 |          0 |       2-8-0 | 20.00% | 4195-4189-0 |  50.04% |      2-8-0 |    20.00% |          0 |        --- |             0 |             0 |
| Lodestone Golem                                            |     2 |  0.24% |          1 |          1 |       8-7-0 | 53.33% | 4189-4190-0 |  49.99% |      8-7-0 |    53.33% |          1 |      0.90% |             0 |             1 |
| Maddening Hex                                              |     2 |  0.24% |          0 |          2 |       4-7-0 | 36.36% | 4193-4190-0 |  50.02% |      4-7-0 |    36.36% |          0 |        --- |             0 |             0 |
| March of Otherworldly Light                                |     2 |  0.24% |          1 |          1 |       7-7-0 | 50.00% | 4190-4190-0 |  50.00% |      7-7-0 |    50.00% |          0 |        --- |             0 |             0 |
| Meddling Mage                                              |     2 |  0.24% |          1 |          2 |     12-10-0 | 54.55% | 4185-4187-0 |  49.99% |    12-10-0 |    54.55% |          1 |      0.90% |             0 |             1 |
| Metamorphosis Fanatic                                      |     2 |  0.24% |          1 |          1 |       9-8-0 | 52.94% | 4188-4189-0 |  49.99% |      9-8-0 |    52.94% |          1 |      0.90% |             1 |             0 |
| Mogg War Marshal                                           |     2 |  0.24% |          2 |          0 |       3-6-0 | 33.33% | 4194-4191-0 |  50.02% |      3-6-0 |    33.33% |          0 |        --- |             0 |             0 |
| Mutated Cultist                                            |     2 |  0.24% |          2 |          1 |      2-10-0 | 16.67% | 4195-4187-0 |  50.05% |     2-10-0 |    16.67% |          0 |        --- |             0 |             0 |
| Nature's Claim                                             |     2 |  0.24% |          0 |          2 |       3-9-0 | 25.00% | 4194-4188-0 |  50.04% |      3-9-0 |    25.00% |          0 |        --- |             0 |             0 |
| Nettle Sentinel                                            |     2 |  0.24% |          2 |          0 |       7-7-0 | 50.00% | 4190-4190-0 |  50.00% |      7-7-0 |    50.00% |          0 |        --- |             0 |             0 |
| Pashalik Mons                                              |     2 |  0.24% |          2 |          0 |       3-6-0 | 33.33% | 4194-4191-0 |  50.02% |      3-6-0 |    33.33% |          0 |        --- |             0 |             0 |
| Past in Flames                                             |     2 |  0.24% |          2 |          0 |       8-6-0 | 57.14% | 4189-4191-0 |  49.99% |      8-6-0 |    57.14% |          0 |        --- |             0 |             0 |
| Pendelhaven                                                |     2 |  0.24% |          2 |          0 |       4-7-0 | 36.36% | 4193-4190-0 |  50.02% |      4-7-0 |    36.36% |          0 |        --- |             0 |             0 |
| Pest Control                                               |     2 |  0.24% |          1 |          1 |       5-5-0 | 50.00% | 4192-4192-0 |  50.00% |      5-5-0 |    50.00% |          0 |        --- |             0 |             0 |
| Phantom Blade                                              |     2 |  0.24% |          2 |          0 |       6-5-0 | 54.55% | 4191-4192-0 |  49.99% |      6-5-0 |    54.55% |          0 |        --- |             0 |             0 |
| Portal to Phyrexia                                         |     2 |  0.24% |          1 |          1 |       8-8-0 | 50.00% | 4189-4189-0 |  50.00% |      8-8-0 |    50.00% |          1 |      0.90% |             0 |             1 |
| Portent                                                    |     2 |  0.24% |          2 |          0 |      12-9-0 | 57.14% | 4185-4188-0 |  49.98% |     12-9-0 |    57.14% |          1 |      0.90% |             1 |             0 |
| Primeval Titan                                             |     2 |  0.24% |          2 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Progenitus                                                 |     2 |  0.24% |          0 |          2 |       6-7-0 | 46.15% | 4191-4190-0 |  50.01% |      6-7-0 |    46.15% |          0 |        --- |             0 |             0 |
| Ramunap Excavator                                          |     2 |  0.24% |          1 |          1 |       6-8-0 | 42.86% | 4191-4189-0 |  50.01% |      6-8-0 |    42.86% |          0 |        --- |             0 |             0 |
| Reverent Silence                                           |     2 |  0.24% |          0 |          2 |       7-9-0 | 43.75% | 4190-4188-0 |  50.01% |      7-9-0 |    43.75% |          0 |        --- |             0 |             0 |
| Rite of Consumption                                        |     2 |  0.24% |          1 |          1 |       1-8-0 | 11.11% | 4196-4189-0 |  50.04% |      1-8-0 |    11.11% |          0 |        --- |             0 |             0 |
| Roiling Vortex                                             |     2 |  0.24% |          2 |          1 |       4-9-0 | 30.77% | 4193-4188-0 |  50.03% |      4-9-0 |    30.77% |          0 |        --- |             0 |             0 |
| Sandman, Shifting Scoundrel                                |     2 |  0.24% |          2 |          0 |       1-4-0 | 20.00% | 4196-4193-0 |  50.02% |      1-4-0 |    20.00% |          0 |        --- |             0 |             0 |
| Scavenging Ooze                                            |     2 |  0.24% |          1 |          1 |       8-6-0 | 57.14% | 4189-4191-0 |  49.99% |      8-6-0 |    57.14% |          0 |        --- |             0 |             0 |
| Scrawling Crawler                                          |     2 |  0.24% |          2 |          1 |       8-6-0 | 57.14% | 4189-4191-0 |  49.99% |      8-6-0 |    57.14% |          0 |        --- |             0 |             0 |
| Scroll of Fate                                             |     2 |  0.24% |          1 |          1 |       7-6-0 | 53.85% | 4190-4191-0 |  49.99% |      7-6-0 |    53.85% |          0 |        --- |             0 |             0 |
| Scryb Ranger                                               |     2 |  0.24% |          2 |          0 |      5-10-0 | 33.33% | 4192-4187-0 |  50.03% |     5-10-0 |    33.33% |          0 |        --- |             0 |             0 |
| Searing Blaze                                              |     2 |  0.24% |          1 |          1 |       7-7-0 | 50.00% | 4190-4190-0 |  50.00% |      7-7-0 |    50.00% |          0 |        --- |             0 |             0 |
| Sevinne's Reclamation                                      |     2 |  0.24% |          1 |          1 |       4-8-0 | 33.33% | 4193-4189-0 |  50.02% |      4-8-0 |    33.33% |          0 |        --- |             0 |             0 |
| Shelldock Isle                                             |     2 |  0.24% |          0 |          2 |       4-6-0 | 40.00% | 4193-4191-0 |  50.01% |      4-6-0 |    40.00% |          0 |        --- |             0 |             0 |
| Silence                                                    |     2 |  0.24% |          2 |          0 |       5-8-0 | 38.46% | 4192-4189-0 |  50.02% |      5-8-0 |    38.46% |          0 |        --- |             0 |             0 |
| Sphere of Resistance                                       |     2 |  0.24% |          2 |          0 |       7-6-0 | 53.85% | 4190-4191-0 |  49.99% |      7-6-0 |    53.85% |          0 |        --- |             0 |             0 |
| Spirit Water Revival                                       |     2 |  0.24% |          2 |          0 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
