Card Statistics over 73 Decks (DMV Legacy League Invitational (2025-11-09))
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |  Record  | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |   With   |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
| Nihil Spellbomb                                         |     2 |  2.78% |    1-5-0 | 16.67% |           1 |           1 |
| Nulldrifter                                             |     2 |  2.78% |    5-5-0 | 50.00% |           8 |           0 |
| Overlord of the Balemurk                                |     2 |  2.78% |   11-3-2 | 75.00% |           8 |           0 |
| Poxwalkers                                              |     2 |  2.78% |    4-6-0 | 40.00% |           3 |           0 |
| Price of Progress                                       |     2 |  2.78% |    3-5-1 | 38.89% |           0 |           2 |
| Prismatic Vista                                         |     2 |  2.78% |    7-6-2 | 53.33% |           7 |           0 |
| Quirion Ranger                                          |     2 |  2.78% |    6-5-0 | 54.55% |           5 |           0 |
| Relic of Progenitus                                     |     2 |  2.78% |    6-4-0 | 60.00% |           1 |           1 |
| Retrofitter Foundry                                     |     2 |  2.78% |    7-5-0 | 58.33% |           3 |           0 |
| Samwise the Stouthearted                                |     2 |  2.78% |    0-4-0 |  0.00% |           2 |           0 |
| Scythecat Cub                                           |     2 |  2.78% |   10-4-0 | 71.43% |           5 |           0 |
| Shadowspear                                             |     2 |  2.78% |    8-5-0 | 61.54% |           0 |           2 |
| Show and Tell                                           |     2 |  2.78% |    2-7-0 | 22.22% |           4 |           4 |
| Static Prison                                           |     2 |  2.78% |    3-6-0 | 33.33% |           3 |           1 |
| Steel Wrecking Ball                                     |     2 |  2.78% |    7-5-1 | 57.69% |           0 |           3 |
| Stony Silence                                           |     2 |  2.78% |    3-6-0 | 33.33% |           0 |           3 |
| Street Wraith                                           |     2 |  2.78% |    3-7-0 | 30.00% |           3 |           2 |
| Sudden Edict                                            |     2 |  2.78% |    2-5-1 | 31.25% |           2 |           1 |
| Sunbaked Canyon                                         |     2 |  2.78% |    3-6-0 | 33.33% |           2 |           0 |
| Sylvan Library                                          |     2 |  2.78% |    6-7-0 | 46.15% |           4 |           0 |
| Taiga                                                   |     2 |  2.78% |    6-7-0 | 46.15% |           2 |           0 |
| Talon Gates of Madara                                   |     2 |  2.78% |    8-6-0 | 57.14% |           2 |           0 |
| Torpor Orb                                              |     2 |  2.78% |    5-5-0 | 50.00% |           6 |           0 |
| Toxic Deluge                                            |     2 |  2.78% |    5-4-1 | 55.00% |           0 |           2 |
| Undercity Informer                                      |     2 |  2.78% |    4-6-0 | 40.00% |           8 |           0 |
| Urza's Bauble                                           |     2 |  2.78% |    6-7-0 | 46.15% |           3 |           0 |
| Voice of Victory                                        |     2 |  2.78% |    0-4-0 |  0.00% |           6 |           0 |
| Worldgorger Dragon                                      |     2 |  2.78% |    4-7-0 | 36.36% |           2 |           0 |
| Yorion, Sky Nomad                                       |     2 |  2.78% |   10-4-2 | 68.75% |           0 |           2 |
| Aether Spellbomb                                        |     1 |  1.39% |    3-3-0 | 50.00% |           0 |           1 |
| Aether Vial                                             |     1 |  1.39% |    6-1-2 | 77.78% |           4 |           0 |
| Agadeem's Awakening // Agadeem, the Undercrypt          |     1 |  1.39% |    4-3-0 | 57.14% |           4 |           0 |
| Anointed Peacekeeper                                    |     1 |  1.39% |    4-2-0 | 66.67% |           4 |           0 |
| Archon of Emeria                                        |     1 |  1.39% |    2-3-0 | 40.00% |           4 |           0 |
| Ashiok, Dream Render                                    |     1 |  1.39% |    2-3-0 | 40.00% |           0 |           1 |
| Assassin's Trophy                                       |     1 |  1.39% |    3-3-0 | 50.00% |           2 |           0 |
| Back to Basics                                          |     1 |  1.39% |    1-5-0 | 16.67% |           1 |           0 |
| Birchlore Rangers                                       |     1 |  1.39% |    2-2-0 | 50.00% |           3 |           0 |
